census_tract,county,location,population,PollutionScore,pm25,diesel_pm,traffic_density,ozone,asthma,cardiovascular_disease,diabetes,low_birth_weight
6025012101,Imperial,Calexico,3146,7.082606741,9.293944359,4.167413909,862.947,0.053164903,27.78,27.94,20.4,3.67
6025012102,Imperial,Calexico,3398,6.476104541,9.269636154,1.795647459,410.169,0.053164903,27.78,27.94,20.4,3.81
6025012201,Imperial,Calexico,4299,7.500844461,9.258311272,4.221562856,904.115,0.053266914,27.78,27.94,19.4,2.77
6025012202,Imperial,Calexico,3560,6.318235726,9.34704113,0.707729797,174.526,0.05336782,27.78,27.94,19.8,3.93
6025012301,Imperial,Thermal,4169,5.535632251,9.2197625,0.016841066,280.943,0.04923735,29.74,16.46,12.1,3.8
6025012302,Imperial,Thermal,6322,3.98441835,9.492343881,0.006535859,380.254,0.045436812,23.71,14.06,14.9,3.8
6027000100,Inyo,Bishop,3017,2.30501547,5.857591048,0.00044462,55.88,0.049524979,39.43,13.16,14.2,6.75
6027000200,Inyo,Bishop,1917,3.802767747,6.03838639,0.002140431,71.014,0.045059062,39.76,13.23,13.5,5.19
6027000300,Inyo,Bishop,2615,1.668000454,6.0381639,0.014019923,75.692,0.045059062,39.43,13.16,9.9,5.36
6027000400,Inyo,Bishop,5854,2.373765963,6.024727292,0.036936773,150.107,0.045059062,39.43,13.16,11.4,7.3
6027000500,Inyo,Independence,2450,3.076669522,6.286265616,0.001465804,57.429,0.052957513,47.63,14.24,12.6,1.95
6027000800,Inyo,Death Valley,2950,4.296979813,6.738497873,0.000580808,61.874,0.054387168,60.71,16.56,12.6,7.58
6029000102,Kern,Bakersfield,2867,5.575847828,10.27588415,0.118521206,270.199,0.057895369,39.46,20.52,12.2,3.37
6029000103,Kern,Bakersfield,4957,5.530936324,10.56047916,0.093027856,310.823,0.057187886,39.46,20.52,14.1,6.65
6029000104,Kern,Bakersfield,1691,4.430912278,10.05764771,0.067291501,216.555,0.05760774,39.46,20.52,10.5,5.26
6029000105,Kern,Bakersfield,4706,4.546434748,10.31321812,0.078647884,239.1,0.05760774,39.46,20.52,8.3,3.71
6029000106,Kern,Bakersfield,2515,7.847036725,10.03933811,0.130426449,890.35,0.056649021,39.46,20.52,8.4,5.31
6029000201,Kern,Bakersfield,3912,6.429007129,10.58396006,0.094386781,296.698,0.057326314,39.46,20.52,14.7,8.16
6029000202,Kern,Bakersfield,3844,7.1770869,10.3936348,0.318135099,905.479,0.056388274,39.46,20.52,13.0,5.44
6029000300,Kern,Bakersfield,4605,6.469045816,10.71441142,0.142764273,409.266,0.057050959,39.46,20.52,13.7,5.84
6029000400,Kern,Bakersfield,4645,7.534280069,10.91487217,0.395306969,1509.902,0.056649021,44.19,20.59,15.2,6.5
6029000504,Kern,Bakersfield,4830,6.045360454,10.5553875,0.18522043,1110.979,0.055639295,39.46,20.52,12.9,7.0
6029000505,Kern,Bakersfield,4115,4.167577118,10.72284722,0.073506373,555.182,0.054713904,39.46,20.52,11.8,5.45
6029000506,Kern,Bakersfield,3040,5.842844172,11.05585814,0.143734801,668.992,0.054175206,39.46,20.52,9.7,4.88
6029000507,Kern,Bakersfield,4149,7.78922895,11.27146407,0.287918539,1383.981,0.054937741,39.36,20.45,10.2,4.23
6029000508,Kern,Bakersfield,1717,5.533760963,10.46816902,0.073029485,1278.082,0.055519159,35.18,19.35,10.9,3.23
6029000509,Kern,Bakersfield,2718,4.196982455,10.41835292,0.053991984,412.468,0.055166512,15.34,13.63,9.4,4.32
6029000510,Kern,Bakersfield,4718,4.01200827,10.26038694,0.049477528,352.268,0.054713904,14.46,13.49,9.7,5.65
6029000601,Kern,Bakersfield,2002,4.783847938,11.37759829,0.174833048,440.656,0.05760774,74.1,21.08,17.3,9.59
6029000602,Kern,Bakersfield,2916,5.42834033,11.73600197,0.434141077,436.831,0.057187886,85.2,21.16,12.9,5.97
6029000603,Kern,Bakersfield,2201,6.774611499,11.68344466,0.68013758,1002.281,0.057326314,82.55,21.14,17.5,11.15
